player_id,player_name,firstname,lastname,nationality,birth_date,birth_place,birth_country,age,height,height_cm,weight,weight_kg,season,team_id,team_name,league_id,league_name,league_country,position,captain,injured,appearances,lineups,minutes,rating,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on_target,goals,assists,penalty_scored,penalty_missed,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_committed,goals_conceded,saves,penalty_saved,wc_years,wc_teams,wc_team_ids,photo
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2025,1568.0,Uzbekistan,10.0,Friendlies,World,Defender,False,False,4.0,2.0,90.0,6.6,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,32.0,,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,0.0,0.0,,,0.0,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2025,2733.0,Esteghlal FC,18.0,AFC Cup,World,Defender,False,False,4.0,4.0,360.0,6.95,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,220.0,1.0,46.0,2.0,2.0,6.0,15.0,7.0,2.0,2.0,,5.0,1.0,0.0,0.0,,,0.0,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2025,2733.0,Esteghlal FC,290.0,Persian Gulf Pro League,Iran,Defender,False,False,29.0,18.0,742.0,6.8,11.0,,,6.0,4.0,1.0,,0.0,0.0,433.0,5.0,,13.0,3.0,14.0,61.0,33.0,1.0,1.0,1.0,9.0,1.0,,1.0,,,0.0,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2024,1083.0,Rubin,235.0,Premier League,Russia,Defender,False,False,29.0,18.0,618.0,6.581818,11.0,,,2.0,,,0.0,0.0,0.0,270.0,1.0,,15.0,5.0,16.0,62.0,36.0,2.0,1.0,4.0,8.0,2.0,,0.0,,,0.0,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2024,1083.0,Rubin,237.0,Cup,Russia,Defender,False,False,7.0,7.0,535.0,,0.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2023,1568.0,Uzbekistan,7.0,Asian Cup,World,Defender,False,False,5.0,5.0,390.0,7.1,0.0,,,1.0,,,,0.0,0.0,261.0,,49.0,6.0,2.0,11.0,38.0,22.0,,,,3.0,1.0,,0.0,,,0.0,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2023,1568.0,Uzbekistan,10.0,Friendlies,World,Defender,False,False,3.0,2.0,177.0,6.9,1.0,1.0,3.0,1.0,1.0,0.0,,0.0,0.0,16.0,,,,,,3.0,2.0,,,,,0.0,0.0,0.0,,,0.0,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2023,1083.0,Rubin,235.0,Premier League,Russia,Defender,False,False,29.0,18.0,742.0,6.8,11.0,,,6.0,4.0,1.0,,0.0,0.0,433.0,5.0,,13.0,3.0,14.0,61.0,33.0,1.0,1.0,1.0,9.0,1.0,,1.0,,,0.0,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2023,1083.0,Rubin,237.0,Cup,Russia,Defender,False,False,5.0,5.0,428.0,,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2023,1568.0,Uzbekistan,,Asian Cup Qualification,,Defender,False,False,3.0,3.0,270.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2022,1568.0,Uzbekistan,10.0,Friendlies,World,Defender,False,False,3.0,3.0,220.0,,0.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2022,1568.0,Uzbekistan,30.0,World Cup - Qualification Asia,World,Defender,False,False,6.0,5.0,494.0,,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
34121,R. Ashurmatov,Rustamjon,Ashurmatov,Uzbekistan,1996-07-07,Qo'qon,Uzbekistan,29.0,186,186.0,85,85.0,2022,1568.0,Uzbekistan,35.0,Asian Cup - Qualification,World,Defender,False,False,3.0,3.0,270.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2026,Uzbekistan,1568,https://media.api-sports.io/football/players/34121.png
