team_id,team_name,country,code,founded,national,logo,venue_name,venue_city,venue_capacity,is_host
1,Belgium,Belgium,BEL,1895,True,https://media.api-sports.io/football/teams/1.png,Stade Roi Baudouin,Brussel,50093,False
2,France,France,FRA,1919,True,https://media.api-sports.io/football/teams/2.png,Stade de France,Saint-Denis,81338,False
3,Croatia,Croatia,CRO,1912,True,https://media.api-sports.io/football/teams/3.png,Stadion Maksimir,Zagreb,37168,False
6,Brazil,Brazil,BRA,1914,True,https://media.api-sports.io/football/teams/6.png,Neo Química Arena,"São Paulo, São Paulo",49205,False
7,Uruguay,Uruguay,URU,1900,True,https://media.api-sports.io/football/teams/7.png,Estadio Centenario,Montevideo,60235,False
9,Spain,Spain,SPA,1913,True,https://media.api-sports.io/football/teams/9.png,Estadio Santiago Bernabéu,Madrid,85454,False
10,England,England,ENG,1863,True,https://media.api-sports.io/football/teams/10.png,The City Ground,"Nottingham, Nottinghamshire",30576,False
12,Japan,Japan,JAP,1921,True,https://media.api-sports.io/football/teams/12.png,Panasonic Stadium Suita,Suita,40322,False
13,Senegal,Senegal,SEN,1960,True,https://media.api-sports.io/football/teams/13.png,Stade Me Abdoulaye Wade,Diamniadio,50000,False
14,Serbia,Serbia,SER,1919,True,https://media.api-sports.io/football/teams/14.png,Stadion Rajko Mitić,Beograd,51862,False
15,Switzerland,Switzerland,SWI,1895,True,https://media.api-sports.io/football/teams/15.png,kybunpark,St. Gallen,20029,False
16,Mexico,Mexico,MEX,1927,True,https://media.api-sports.io/football/teams/16.png,Oakland-Alameda County Coliseum,"Oakland, California",63026,True
17,South Korea,South-Korea,SOU,1933,True,https://media.api-sports.io/football/teams/17.png,Yongin Mireu Stadium,Yongin,37155,False
20,Australia,Australia,AUS,1961,True,https://media.api-sports.io/football/teams/20.png,CommBank Stadium,Sydney,30000,False
21,Denmark,Denmark,DEN,1889,True,https://media.api-sports.io/football/teams/21.png,Nature Energy Park,Odense,15790,False
