player_id,player_name,firstname,lastname,nationality,birth_date,birth_place,birth_country,age,height,weight,injured,photo,season,team_id,team_name,league_id,league_name,league_country,position,appearances,lineups,minutes,rating,captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on_target,goals,goals_conceded,assists,saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,national_team_id,national_team_name
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2020,84,Nice,61.0,Ligue 1,France,Defender,0.0,0.0,0.0,,False,0.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,,13,Senegal
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2021,84,Nice,61.0,Ligue 1,France,Defender,0.0,0.0,0.0,,False,0.0,0.0,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,,13,Senegal
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2021,84,Nice,66.0,Coupe de France,France,Defender,0.0,0.0,0.0,,False,0.0,0.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,,13,Senegal
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2021,9259,Nice II,472.0,National 3 - Group M,France,Defender,16.0,16.0,1402.0,,False,0.0,2.0,0.0,,,2.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,,13,Senegal
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2022,84,Nice,61.0,Ligue 1,France,Defender,25.0,18.0,527.0,6.78,False,7.0,,,7.0,2.0,,0.0,1.0,,272.0,6.0,,22.0,1.0,2.0,67.0,35.0,4.0,3.0,,3.0,9.0,0.0,,0.0,,,0.0,0.0,,13,Senegal
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2022,84,Nice,66.0,Coupe de France,France,Defender,1.0,1.0,90.0,7.3,False,0.0,,,1.0,,,0.0,,,70.0,1.0,67.0,5.0,,1.0,17.0,10.0,,,,,2.0,0.0,,0.0,,,0.0,0.0,,13,Senegal
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2022,84,Nice,848.0,UEFA Europa Conference League,World,Defender,3.0,1.0,88.0,6.533333,False,2.0,1.0,8.0,1.0,,0.0,0.0,,,57.0,1.0,,,,,4.0,2.0,1.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,13,Senegal
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2022,84,Nice,667.0,Friendlies Clubs,World,Defender,2.0,1.0,101.0,,False,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,13,Senegal
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2022,9259,Nice II,472.0,National 3 - Group M,France,Defender,3.0,3.0,260.0,,False,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,13,Senegal
313937,A. Mendy,Antoine,Mendy,France,2004-05-27,Marseille,France,21,187,75.0,False,https://media.api-sports.io/football/players/313937.png,2023,84,Nice,61.0,Ligue 1,France,Defender,10.0,4.0,415.0,6.76,False,6.0,3.0,18.0,2.0,1.0,0.0,0.0,0.0,,223.0,2.0,,7.0,1.0,8.0,46.0,25.0,9.0,6.0,,5.0,4.0,0.0,0.0,0.0,,,0.0,0.0,,13,Senegal
