player_id,player_name,team_id,team_name,age,number,position,photo
361433,João Carvalho,27,Portugal,21,12,Goalkeeper,https://media.api-sports.io/football/players/361433.png
369,Diogo Costa,27,Portugal,26,1,Goalkeeper,https://media.api-sports.io/football/players/369.png
1590,José Sá,27,Portugal,32,12,Goalkeeper,https://media.api-sports.io/football/players/1590.png
46672,Rui Silva,27,Portugal,31,22,Goalkeeper,https://media.api-sports.io/football/players/46672.png
855,João Cancelo,27,Portugal,31,20,Defender,https://media.api-sports.io/football/players/855.png
886,Diogo Dalot,27,Portugal,26,5,Defender,https://media.api-sports.io/football/players/886.png
567,Rúben Dias,27,Portugal,28,3,Defender,https://media.api-sports.io/football/players/567.png
265595,Gonçalo Inácio,27,Portugal,24,14,Defender,https://media.api-sports.io/football/players/265595.png
263482,Nuno Mendes,27,Portugal,23,19,Defender,https://media.api-sports.io/football/players/263482.png
130,Nélson Semedo,27,Portugal,32,2,Defender,https://media.api-sports.io/football/players/130.png
331832,António Silva,27,Portugal,22,4,Defender,https://media.api-sports.io/football/players/331832.png
41577,Nuno Tavares,27,Portugal,25,14,Defender,https://media.api-sports.io/football/players/41577.png
336671,Renato Veiga,27,Portugal,22,13,Defender,https://media.api-sports.io/football/players/336671.png
1485,Bruno Fernandes,27,Portugal,31,8,Midfielder,https://media.api-sports.io/football/players/1485.png
18748,Pote,27,Portugal,27,17,Midfielder,https://media.api-sports.io/football/players/18748.png
335051,João Neves,27,Portugal,21,15,Midfielder,https://media.api-sports.io/football/players/335051.png
2676,Rúben Neves,27,Portugal,28,21,Midfielder,https://media.api-sports.io/football/players/2676.png
41621,Matheus Nunes,27,Portugal,27,18,Midfielder,https://media.api-sports.io/football/players/41621.png
41104,João Palhinha,27,Portugal,30,6,Midfielder,https://media.api-sports.io/football/players/41104.png
636,Bernardo Silva,27,Portugal,31,10,Midfielder,https://media.api-sports.io/football/players/636.png
128384,Vitinha,27,Portugal,25,23,Midfielder,https://media.api-sports.io/football/players/128384.png
161585,Francisco Conceição,27,Portugal,23,19,Attacker,https://media.api-sports.io/football/players/161585.png
282126,Carlos Forbs,27,Portugal,21,7,Attacker,https://media.api-sports.io/football/players/282126.png
583,João Félix,27,Portugal,26,11,Attacker,https://media.api-sports.io/football/players/583.png
22236,Rafael Leão,27,Portugal,26,17,Attacker,https://media.api-sports.io/football/players/22236.png
1864,Pedro Neto,27,Portugal,25,18,Attacker,https://media.api-sports.io/football/players/1864.png
41585,Gonçalo Ramos,27,Portugal,24,9,Attacker,https://media.api-sports.io/football/players/41585.png
874,Cristiano Ronaldo,27,Portugal,40,7,Attacker,https://media.api-sports.io/football/players/874.png
41112,Trincão,27,Portugal,26,16,Attacker,https://media.api-sports.io/football/players/41112.png
