player_id,player_name,team_id,team_name,age,number,position,photo
162453,L. Chevalier,2,France,24.0,23.0,Goalkeeper,https://media.api-sports.io/football/players/162453.png
22221,M. Maignan,2,France,30.0,16.0,Goalkeeper,https://media.api-sports.io/football/players/22221.png
21628,B. Samba,2,France,31.0,1.0,Goalkeeper,https://media.api-sports.io/football/players/21628.png
2724,L. Digne,2,France,32.0,3.0,Defender,https://media.api-sports.io/football/players/2724.png
161907,M. Gusto,2,France,22.0,2.0,Defender,https://media.api-sports.io/football/players/161907.png
33,L. Hernández,2,France,29.0,21.0,Defender,https://media.api-sports.io/football/players/33.png
47300,T. Hernández,2,France,28.0,22.0,Defender,https://media.api-sports.io/football/players/47300.png
1145,I. Konaté,2,France,26.0,15.0,Defender,https://media.api-sports.io/football/players/1145.png
1257,J. Koundé,2,France,27.0,5.0,Defender,https://media.api-sports.io/football/players/1257.png
2725,B. Pavard,2,France,29.0,15.0,Defender,https://media.api-sports.io/football/players/2725.png
22090,W. Saliba,2,France,24.0,17.0,Defender,https://media.api-sports.io/football/players/22090.png
1149,D. Upamecano,2,France,27.0,4.0,Defender,https://media.api-sports.io/football/players/1149.png
2207,E. Camavinga,2,France,23.0,6.0,Midfielder,https://media.api-sports.io/football/players/2207.png
156477,R. Cherki,2,France,22.0,14.0,Midfielder,https://media.api-sports.io/football/players/156477.png
2290,N. Kanté,2,France,34.0,13.0,Midfielder,https://media.api-sports.io/football/players/2290.png
22147,M. Koné,2,France,24.0,8.0,Midfielder,https://media.api-sports.io/football/players/22147.png
19617,M. Olise,2,France,24.0,11.0,Midfielder,https://media.api-sports.io/football/players/19617.png
272,A. Rabiot,2,France,30.0,14.0,Midfielder,https://media.api-sports.io/football/players/272.png
1271,A. Tchouaméni,2,France,25.0,8.0,Midfielder,https://media.api-sports.io/football/players/1271.png
116,K. Thuram,2,France,24.0,6.0,Midfielder,https://media.api-sports.io/football/players/116.png
336657,W. Zaïre-Emery,2,France,19.0,18.0,Midfielder,https://media.api-sports.io/football/players/336657.png
274300,M. Akliouche,2,France,23.0,12.0,Attacker,https://media.api-sports.io/football/players/274300.png
161904,B. Barcola,2,France,23.0,20.0,Attacker,https://media.api-sports.io/football/players/161904.png
508,K. Coman,2,France,29.0,7.0,Attacker,https://media.api-sports.io/football/players/508.png
153,O. Dembélé,2,France,28.0,7.0,Attacker,https://media.api-sports.io/football/players/153.png
343027,D. Doué,2,France,20.0,12.0,Attacker,https://media.api-sports.io/football/players/343027.png
174565,H. Ekitike,2,France,23.0,9.0,Attacker,https://media.api-sports.io/football/players/174565.png
25927,J. Mateta,2,France,28.0,19.0,Attacker,https://media.api-sports.io/football/players/25927.png
278,Kylian Mbappé,2,France,27.0,10.0,Attacker,https://media.api-sports.io/football/players/278.png
269,C. Nkunku,2,France,28.0,7.0,Attacker,https://media.api-sports.io/football/players/269.png
1922,F. Thauvin,2,France,32.0,8.0,Attacker,https://media.api-sports.io/football/players/1922.png
21509,M. Thuram,2,France,28.0,9.0,Attacker,https://media.api-sports.io/football/players/21509.png
14297,I. Ivušić,3,Croatia,30.0,23.0,Goalkeeper,https://media.api-sports.io/football/players/14297.png
524,D. Kotarski,3,Croatia,25.0,12.0,Goalkeeper,https://media.api-sports.io/football/players/524.png
1305,D. Livaković,3,Croatia,30.0,1.0,Goalkeeper,https://media.api-sports.io/football/players/1305.png
14268,I. Pandur,3,Croatia,25.0,12.0,Goalkeeper,https://media.api-sports.io/football/players/14268.png
14327,D. Bradarić,3,Croatia,26.0,6.0,Defender,https://media.api-sports.io/football/players/14327.png
1902,D. Ćaleta-Car,3,Croatia,29.0,5.0,Defender,https://media.api-sports.io/football/players/1902.png
30827,M. Erlić,3,Croatia,27.0,22.0,Defender,https://media.api-sports.io/football/players/30827.png
129033,J. Gvardiol,3,Croatia,23.0,4.0,Defender,https://media.api-sports.io/football/players/129033.png
14330,J. Juranović,3,Croatia,30.0,22.0,Defender,https://media.api-sports.io/football/players/14330.png
1084,M. Pongračić,3,Croatia,28.0,3.0,Defender,https://media.api-sports.io/football/players/1084.png
26303,B. Sosa,3,Croatia,27.0,19.0,Defender,https://media.api-sports.io/football/players/26303.png
125171,J. Stanišić,3,Croatia,25.0,2.0,Defender,https://media.api-sports.io/football/players/125171.png
14701,J. Šutalo,3,Croatia,25.0,6.0,Defender,https://media.api-sports.io/football/players/14701.png
387521,L. Vušković,3,Croatia,18.0,4.0,Defender,https://media.api-sports.io/football/players/387521.png
295026,M. Baturina,3,Croatia,22.0,16.0,Midfielder,https://media.api-sports.io/football/players/295026.png
284869,T. Fruk,3,Croatia,24.0,19.0,Midfielder,https://media.api-sports.io/football/players/284869.png
14395,K. Jakić,3,Croatia,28.0,18.0,Midfielder,https://media.api-sports.io/football/players/14395.png
2291,M. Kovačić,3,Croatia,31.0,8.0,Midfielder,https://media.api-sports.io/football/players/2291.png
1321,L. Majer,3,Croatia,27.0,7.0,Midfielder,https://media.api-sports.io/football/players/1321.png
754,L. Modrić,3,Croatia,40.0,10.0,Midfielder,https://media.api-sports.io/football/players/754.png
1322,N. Moro,3,Croatia,27.0,8.0,Midfielder,https://media.api-sports.io/football/players/1322.png
260865,M. Pašalić,3,Croatia,25.0,7.0,Midfielder,https://media.api-sports.io/football/players/260865.png
2763,M. Pašalić,3,Croatia,30.0,15.0,Midfielder,https://media.api-sports.io/football/players/2763.png
