fixture_id,world_cup_year,round,team_id,team_name,player_id,player_name,minutes_played,player_number,position,rating,is_captain,is_substitute,appeared,shots_total,shots_on_target,goals_scored,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,offsides,pass_accuracy_pct,duel_win_pct,dribble_success_pct,shot_accuracy_pct,goals_per_shot,minutes_per_goal,defensive_actions,attacking_actions,goals_per_90,assists_per_90,key_passes_per_90,tackles_per_90,successful_dribbles_per_90,fouls_committed_per_90
135777,2018,Group Stage - 1,4,Russia,821,Igor Akinfeev,90.0,1,Goalkeeper,6.9,True,False,True,0.0,0.0,0.0,0,0.0,0.0,23.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,56.5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135777,2018,Group Stage - 1,4,Russia,827,Mário Fernandes,90.0,2,Defender,7.5,False,False,True,0.0,0.0,0.0,0,0.0,0.0,28.0,1.0,23.0,2.0,0.0,2.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1.0,82.1,75.0,,,,,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
135777,2018,Group Stage - 1,4,Russia,1776,Ilya Kutepov,90.0,3,Defender,7.2,False,False,True,0.0,0.0,0.0,0,0.0,0.0,37.0,0.0,26.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,70.3,75.0,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135777,2018,Group Stage - 1,4,Russia,104575,Sergey Ignashevich,90.0,4,Defender,7.7,False,False,True,0.0,0.0,0.0,0,0.0,0.0,38.0,0.0,28.0,3.0,1.0,1.0,13.0,11.0,0.0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,73.7,84.6,,,,,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
135777,2018,Group Stage - 1,4,Russia,1220,Yury Zhirkov,90.0,18,Defender,7.7,False,False,True,0.0,0.0,0.0,0,0.0,0.0,35.0,0.0,25.0,4.0,0.0,0.0,16.0,13.0,1.0,1.0,0.0,1.0,2.0,0,0,0.0,0.0,0,0,0.0,0.0,71.4,81.2,100.0,,,,4.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0
135777,2018,Group Stage - 1,4,Russia,2081,Yuri Gazinskiy,90.0,8,Midfielder,7.7,False,False,True,1.0,1.0,1.0,0,0.0,0.0,31.0,0.0,26.0,1.0,0.0,1.0,8.0,5.0,1.0,1.0,1.0,1.0,2.0,0,0,0.0,0.0,0,0,0.0,0.0,83.9,62.5,100.0,100.0,1.0,90.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
135777,2018,Group Stage - 1,4,Russia,1792,Roman Zobnin,90.0,11,Midfielder,7.6,False,False,True,2.0,1.0,0.0,0,1.0,0.0,31.0,2.0,18.0,6.0,0.0,2.0,18.0,12.0,1.0,0.0,1.0,3.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,58.1,66.7,0.0,50.0,0.0,,8.0,3.0,0.0,1.0,2.0,6.0,0.0,1.0
135777,2018,Group Stage - 1,4,Russia,53687,Aleksandr Samedov,64.0,19,Midfielder,6.9,False,False,True,1.0,0.0,0.0,0,0.0,0.0,19.0,1.0,15.0,2.0,0.0,0.0,14.0,6.0,2.0,2.0,2.0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,78.9,42.9,100.0,0.0,0.0,,2.0,1.0,0.0,0.0,1.406,2.812,2.812,1.406
135777,2018,Group Stage - 1,4,Russia,835,Alan Dzagoev,24.0,9,Midfielder,6.7,False,False,True,0.0,0.0,0.0,0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,88.9,75.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0
135777,2018,Group Stage - 1,4,Russia,109,Aleksandr Golovin,90.0,17,Midfielder,8.6,False,False,True,1.0,1.0,1.0,0,2.0,0.0,35.0,5.0,25.0,4.0,0.0,2.0,20.0,7.0,1.0,1.0,2.0,1.0,7.0,1,0,0.0,0.0,0,0,0.0,0.0,71.4,35.0,100.0,100.0,1.0,90.0,6.0,8.0,1.0,2.0,5.0,4.0,1.0,7.0
135777,2018,Group Stage - 1,4,Russia,493,Fedor Smolov,70.0,10,Forward,6.3,False,False,True,0.0,0.0,0.0,0,0.0,0.0,21.0,2.0,13.0,0.0,0.0,0.0,17.0,3.0,3.0,2.0,0.0,0.0,2.0,0,0,0.0,0.0,0,0,0.0,2.0,61.9,17.6,66.7,,,,0.0,2.0,0.0,0.0,2.571,0.0,2.571,2.571
135777,2018,Group Stage - 1,4,Russia,1197,Andrey Lunev,,12,Goalkeeper,,False,True,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,
135777,2018,Group Stage - 1,4,Russia,79125,Vladimir Gabulov,,20,Goalkeeper,,False,True,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,
135777,2018,Group Stage - 1,4,Russia,2621,Fedor Kudryashov,,13,Defender,,False,True,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,
135777,2018,Group Stage - 1,4,Russia,1206,Igor Smolnikov,,23,Defender,,False,True,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,
135777,2018,Group Stage - 1,4,Russia,2622,Andrey Semenov,,5,Defender,,False,True,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,
135777,2018,Group Stage - 1,4,Russia,53593,Vladimir Granat,,14,Defender,,False,True,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,
135777,2018,Group Stage - 1,4,Russia,1212,Daler Kuzyaev,26.0,7,Midfielder,6.7,False,True,True,1.0,0.0,0.0,0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,90.9,40.0,100.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.462,3.462
