fixture_id,world_cup_year,round,team_id,team_name,formation,coach_id,coach_name,player_id,player_name,player_number,player_position,player_grid,is_starter,is_substitute
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,429,F. Muslera,1,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,80379,D. Lugano,2,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,101829,J. Fucile,4,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,377,M. Pereira,16,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,32,D. Godín,3,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,51570,Á. Pereira,11,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,115215,D. Pérez,15,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,71370,E. Arévalo,17,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,157,L. Suárez,9,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,110391,D. Forlán,10,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,274,E. Cavani,7,,,True,False
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,95406,M. Victorino,6,,,False,True
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,2613,N. Lodeiro,14,,,False,True
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,51719,Á. Fernández,20,,,False,True
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,117979,A. Scotti,19,,,False,True
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,51779,I. González,18,,,False,True
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,101815,J. Castillo,12,,,False,True
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,854,M. Cáceres,22,,,False,True
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,2609,M. Silva,23,,,False,True
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,80823,S. Abreu,13,,,False,True
208377,2010,8th Finals,7,Uruguay,,362.0,Ó. Tabárez,113997,S. Eguren,8,,,False,True
